Year,Crop1 Prc ($/Bu),Crop2 Prc ($/Bu),Crop3 Prc ($/Bu),Crop1 Yld (Bu/Ac),Crop2 Yld (lbs/Ac),Crop3 Yld (lbs/Ac)
2014,4.53,0.613,3.786564199,148,824.32,79.38549628
2015,3.706,0.612,3.757775075,135,780.8,114.5237859
2016,3.478,0.68,3.959687158,127,957.44,100.2095489
2017,3.359,0.686,3.697149313,140,1035.52,104.4976762
2018,3.468,0.703,3.540824195,108,1002.24,91.95709046
2019,3.703,0.596,4.022990944,133,753.92,85.74546845
2020,3.549,0.663,3.903222695,128,890.88,104.8345033
2021,5.397,0.91,3.882551576,128,852.48,107.5504992
2022,6.757,0.871,4.644992306,95,1018.88,88.87297532
2023,5.948,0.761,4.401072397,177.3,1048.747,102.3978008
